Id,Key
1,1
2,2
3,5
4,6
5,7
6,3
7,4
8,8
9,10
10,11
11,9
12,12
13,14
14,13
15,15
16,16
17,204
18,17
19,19
20,203
21,20
22,24
23,202
24,22
25,205
26,26
27,27
28,28
29,32
30,29
31,30
32,31
33,34
34,33
35,35
36,36
37,37
38,216
39,39
40,41
41,40
42,45
43,42
44,194
45,52
46,48
47,43
48,46
49,44
50,47
51,50
52,51
53,199
54,49
55,55
56,54
57,53
58,57
59,59
60,56
61,58
62,217
63,62
64,63
65,60
66,64
67,209
68,66
69,65
70,68
71,69
72,70
73,71
74,73
75,222
76,76
77,74
78,77
79,75
80,78
81,82
82,218
83,80
84,83
85,85
86,84
87,86
88,87
89,81
90,89
91,90
92,223
93,91
94,95
95,96
96,99
97,102
98,98
99,93
100,101
101,100
102,224
103,106
104,103
105,107
106,109
107,108
108,112
109,225
110,111
111,116
112,113
113,118
114,115
115,117
116,114
117,219
118,189
119,121
120,123
121,190
122,124
123,122
124,120
125,125
126,127
127,129
128,128
129,131
130,130
131,132
132,133
133,135
134,126
135,213
136,136
137,137
138,210
139,139
140,140
141,141
142,142
143,143
144,145
145,146
146,144
147,147
148,149
149,148
150,150
151,152
152,151
153,154
154,157
155,155
156,160
157,197
158,158
159,161
160,220
161,159
162,163
163,193
164,162
165,165
166,167
167,169
168,166
169,200
170,171
171,221
172,168
173,170
174,201
175,173
176,207
177,215
178,176
179,175
180,177
181,178
182,198
183,183
184,181
185,185
186,179
187,208
188,182
189,180
190,187
191,184
192,186
