Id,Key
1,1
2,2
3,5
4,3
5,6
6,4
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,19
18,17
19,202
20,20
21,203
22,24
23,22
24,26
25,27
26,28
27,29
28,30
29,31
30,32
31,33
32,35
33,34
34,36
35,37
36,38
37,39
38,40
39,41
40,42
41,194
42,43
43,45
44,44
45,47
46,46
47,49
48,51
49,48
50,50
51,52
52,199
53,55
54,53
55,54
56,57
57,56
58,58
59,59
60,63
61,61
62,60
63,62
64,64
65,188
66,66
67,65
68,68
69,67
70,69
71,70
72,71
73,73
74,76
75,74
76,75
77,77
78,78
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,87
87,86
88,90
89,89
90,88
91,92
92,95
93,91
94,195
95,96
96,97
97,99
98,98
99,100
100,101
101,93
102,102
103,105
104,103
105,106
106,107
107,108
108,109
109,112
110,111
111,119
112,116
113,113
114,114
115,117
116,118
117,115
118,120
119,121
120,189
121,124
122,123
123,190
124,122
125,125
126,127
127,128
128,129
129,131
130,130
131,132
132,126
133,133
134,135
135,134
136,136
137,137
138,138
139,139
140,140
141,141
142,142
143,143
144,145
145,146
146,147
147,144
148,148
149,149
150,150
151,151
152,152
153,154
154,155
155,157
156,197
157,160
158,158
159,161
160,159
161,163
162,193
163,162
164,165
165,167
166,166
167,200
168,169
169,170
170,168
171,171
172,201
173,173
174,174
175,175
176,176
177,178
178,177
179,198
180,181
181,179
182,183
183,182
184,180
185,185
186,187
187,184
188,186
